time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-22 09:30:00-05:00,MyStrategy,cf11ebfbc7a94c8987df8a882f19251b,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.239990234375,1.0,0.0
2020-01-22 12:30:00-05:00,MyStrategy,a5adeaf41fe5423490c9ab8e090ea1b8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-22 12:30:00-05:00,MyStrategy,a5adeaf41fe5423490c9ab8e090ea1b8,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.239990234375,1.0,0.0
2020-01-22 15:30:00-05:00,MyStrategy,37e4fdd132a84992ac76893f2c6b2eba,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-22 15:30:00-05:00,MyStrategy,37e4fdd132a84992ac76893f2c6b2eba,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.239990234375,1.0,0.0
2020-01-23 09:30:00-05:00,MyStrategy,a6c54e87190a4d09874be7036adda2b2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-23 09:30:00-05:00,MyStrategy,a6c54e87190a4d09874be7036adda2b2,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.6300048828125,1.0,0.0
2020-01-23 12:30:00-05:00,MyStrategy,579d5f9effb44efcaf07b8e3eb1dbda2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-23 12:30:00-05:00,MyStrategy,579d5f9effb44efcaf07b8e3eb1dbda2,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.6300048828125,1.0,0.0
2020-01-23 15:30:00-05:00,MyStrategy,914d5fbb7e034d658aa3769870707a69,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-23 15:30:00-05:00,MyStrategy,914d5fbb7e034d658aa3769870707a69,SPY,buy,market,fill,1,gtc,0.0,1,stock,330.6300048828125,1.0,0.0
2020-01-24 09:30:00-05:00,MyStrategy,9126e754af0b434f9d0c4ca40927b425,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-24 09:30:00-05:00,MyStrategy,9126e754af0b434f9d0c4ca40927b425,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.44000244140625,1.0,0.0
2020-01-24 12:30:00-05:00,MyStrategy,6476b3cdccb14a31a6d0110f867ee62f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-24 12:30:00-05:00,MyStrategy,6476b3cdccb14a31a6d0110f867ee62f,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.44000244140625,1.0,0.0
2020-01-24 15:30:00-05:00,MyStrategy,30baf001d5ef4f78ac18e24bef133c4e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
